pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
Kepler-183 b,Kepler-183,1,2,0,5.68794500,0.064000,2.060,0.184,4.90000,0.01540,M-R relationship,3.080000,0.000000,281.85,1088,87.450,2454966.956340,0,0.2500,0.047640,2.2140000,19.680000,0.02129,,,,,,,,5888.00,0.96,0.94,0.101,[M/H],0.026,4.50,4.270,4.45432,,,
Kepler-183 c,Kepler-183,1,2,0,11.63707100,0.103000,2.270,0.203,35.70000,0.11200,Mass,16.800000,0.000000,108.72,857,89.860,2455011.843010,0,0.0100,0.060430,3.2890000,27.180000,0.02217,,,,,,,,5888.00,0.96,0.94,0.101,[M/H],0.026,4.50,4.270,2.80492,,,
Kepler-184 b,Kepler-184,1,3,0,10.68757600,0.092000,2.360,0.211,6.17000,0.01940,M-R relationship,2.580000,0.000000,70.36,780,86.890,2455002.931540,0,0.2000,0.077770,3.2210000,25.360000,0.02575,,,,,,,,5788.00,0.87,0.97,-0.196,[M/H],-0.225,4.51,1.700,2.70030,,,
Kepler-184 c,Kepler-184,1,3,0,20.30300500,0.141000,1.970,0.176,8.80000,0.02800,Mass,6.320000,0.000000,29.88,630,87.960,2455009.801670,0,0.0400,0.053340,4.3480000,17.900000,0.02171,,,,,,,,5788.00,0.87,0.97,-0.196,[M/H],-0.225,4.51,1.700,1.57943,,,
Kepler-184 d,Kepler-184,1,3,0,29.02235800,0.179000,2.490,0.222,6.76000,0.02130,M-R relationship,2.410000,0.000000,18.56,559,88.090,2455031.367900,0,0.8900,0.063760,3.9610000,22.700000,0.02813,,,,,,,,5788.00,0.87,0.97,-0.196,[M/H],-0.225,4.51,1.700,0.51622,,,
Kepler-185 b,Kepler-185,1,2,0,1.63290000,0.026000,1.170,0.104,1.71000,0.00537,M-R relationship,5.870000,0.000000,475.51,1237,89.040,2454967.547970,0,0.3400,0.020920,1.5590000,8.050000,0.01346,,,,,,,,5208.00,0.81,0.81,0.160,[Fe/H],-0.504,4.54,11.900,2.85831,,,
Kepler-185 c,Kepler-185,1,2,0,20.72904200,0.139000,2.020,0.180,4.74000,0.01490,M-R relationship,3.160000,0.000000,16.03,530,89.340,2455018.436420,0,0.5700,0.056170,2.7810000,56.850000,0.02176,,,,,,,,5208.00,0.81,0.81,0.160,[Fe/H],-0.504,4.54,11.900,8.08961,,,
Kepler-186 b,Kepler-186,1,5,0,3.88679070,0.034300,1.070,0.095,1.24000,0.00390,M-R relationship,5.560000,0.000000,37.37,571,89.600,2454966.330400,0,0.3000,0.051420,1.8098000,16.715000,0.02075,,,,,,,M1,3788.00,0.47,0.48,-0.280,[Me/H],-1.385,4.77,4.000,6.40000,,,
Kepler-186 c,Kepler-186,1,5,0,7.26730200,0.045100,1.250,0.112,2.10000,0.00660,M-R relationship,5.910000,0.000000,13.98,464,89.900,2455007.314200,0,0.2800,0.065910,2.2691000,25.031000,0.02424,,,,,,,M1,3788.00,0.47,0.48,-0.280,[Me/H],-1.385,4.77,4.000,6.40000,,,
Kepler-186 d,Kepler-186,1,5,0,13.34299600,0.078100,1.400,0.125,2.54000,0.00800,M-R relationship,5.090000,0.000000,7.20,379,89.100,2455009.904500,0,0.3600,0.087280,2.9002000,17.800000,0.02715,,,,,,,M1,3788.00,0.47,0.48,-0.280,[Me/H],-1.385,4.77,4.000,6.40000,,,
Kepler-186 e,Kepler-186,1,5,0,22.40770400,0.110000,1.270,0.113,2.15000,0.00678,M-R relationship,5.770000,0.000000,3.61,319,89.840,2454986.800600,0,0.3100,0.070890,3.3199000,52.750000,0.02465,,,,,,,M1,3788.00,0.47,0.48,-0.280,[Me/H],-1.385,4.77,4.000,6.40000,,,
Kepler-186 f,Kepler-186,1,5,0,129.94410000,0.432000,1.170,0.104,1.71000,0.00537,M-R relationship,5.870000,0.040000,0.30,177,89.960,2455789.494000,0,0.1300,0.046660,5.6200000,178.000000,0.02050,,,,,,,M1,3755.00,0.52,0.54,-0.260,[Fe/H],-1.260,4.74,4.000,5.29000,,,
Kepler-187 b,Kepler-187,1,2,0,4.93886400,0.059000,1.410,0.126,2.57000,0.00809,M-R relationship,5.040000,0.000000,902.24,1244,84.670,2454968.951860,0,0.1500,0.012350,4.2790000,6.020000,0.01050,,,,,,,,6105.00,1.29,1.11,-0.020,[Fe/H],0.493,4.27,3.720,0.41310,,,
Kepler-187 c,Kepler-187,1,2,0,10.64026300,0.099000,2.670,0.238,7.61000,0.02390,M-R relationship,2.200000,0.000000,324.13,963,85.610,2455012.773930,0,0.0900,0.045530,5.2840000,10.030000,0.02135,,,,,,,,6105.00,1.29,1.11,-0.020,[Fe/H],0.493,4.27,3.720,0.17649,,,
Kepler-188 b,Kepler-188,1,2,0,2.06189700,0.032000,1.680,0.150,3.46000,0.01090,M-R relationship,4.010000,0.000000,1069.23,1463,85.540,2454966.198580,0,0.1800,0.021400,1.7910000,8.450000,0.01375,,,,,,,,6021.00,1.14,0.98,0.140,[Fe/H],0.034,4.35,5.800,2.68246,6.3000,,-8.36
Kepler-188 c,Kepler-188,1,2,0,5.99655300,0.066000,3.190,0.285,10.30000,0.03240,M-R relationship,1.740000,0.000000,257.35,1025,87.630,2455005.503140,0,0.6600,0.071140,3.2310000,10.600000,0.02600,,,,,,,,6021.00,1.14,0.98,0.140,[Fe/H],0.034,4.35,5.800,0.98292,6.3000,,-8.36
Kepler-189 b,Kepler-189,1,2,0,10.39993100,0.088000,1.210,0.108,1.92000,0.00606,M-R relationship,5.960000,0.000000,45.39,678,87.280,2454974.510920,0,0.2300,0.027530,3.4170000,23.650000,0.01616,,,,,,,,5235.00,0.75,0.79,-0.020,[Fe/H],-0.448,4.62,0.700,2.31395,,,
