pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
Kepler-809 b,1,1,0,55.63934000,0.290100,3.010,0.269,9.32000,0.02930,1.880000,0.000000,13.15,478,0,5734.00,0.98,0.99,0.040,0.001,4.45,4.370,0.88628,,,
Kepler-81 b,1,3,0,5.95500000,0.052200,2.420,0.216,17.20000,0.05400,6.670000,0.000000,39.95,635,1,4385.00,0.59,0.64,-0.180,-0.889,4.70,3.630,4.19265,,,
Kepler-81 c,1,3,0,12.04000000,0.083470,2.370,0.211,4.30000,0.01400,1.770000,0.000000,15.62,502,1,4385.00,0.59,0.64,-0.180,-0.889,4.70,3.630,4.82896,,,
Kepler-81 d,1,3,0,20.83784600,0.128000,1.210,0.108,1.92000,0.00606,5.960000,0.000000,7.51,418,0,4500.00,0.59,0.65,-0.180,-0.889,4.70,3.630,11.51428,,,
Kepler-810 b,1,1,0,4.59725385,0.055000,1.930,0.172,4.38000,0.01380,3.350000,0.000000,350.60,1105,0,5803.00,1.04,1.03,0.100,-0.032,4.42,4.170,1.65508,,,
Kepler-811 b,1,1,0,23.58447697,0.158300,2.700,0.241,7.75000,0.02440,2.160000,0.000000,78.59,730,0,5747.00,1.24,1.01,0.050,0.323,4.25,7.940,0.62326,,,
Kepler-812 b,1,1,0,10.11716531,0.102400,3.550,0.317,12.30000,0.03880,1.510000,0.000000,421.92,1163,0,6761.00,1.71,1.45,0.020,0.752,4.13,1.660,0.77147,,,
Kepler-813 b,1,1,0,19.12947337,0.143900,2.140,0.191,5.22000,0.01640,2.930000,0.000000,56.04,817,0,5743.00,0.93,0.95,-0.130,-0.071,4.48,3.980,1.98618,,,
Kepler-814 b,1,1,0,6.14698510,0.069500,2.120,0.189,5.14000,0.01620,2.960000,0.000000,935.12,1164,0,6162.00,1.22,1.15,0.010,0.669,4.33,3.020,1.47416,,,
Kepler-815 b,1,1,0,8.57503552,0.088800,4.110,0.367,15.80000,0.04980,1.250000,0.000000,979.14,1374,0,5028.00,3.42,1.25,-0.030,0.857,3.46,4.900,0.12089,,,
Kepler-816 b,1,1,0,10.50682565,0.089500,10.240,0.914,74.50000,0.23400,0.381000,0.000000,50.56,668,0,5286.00,0.85,0.90,0.160,-0.374,4.54,4.170,2.31041,,,
Kepler-817 b,1,1,0,3.99010623,0.049300,9.030,0.806,60.20000,0.18900,0.449000,0.000000,550.20,1124,0,5861.00,1.03,1.03,0.020,0.086,4.42,3.550,1.78404,,,
Kepler-818 b,1,1,0,10.03538581,0.088600,5.110,0.456,22.90000,0.07200,0.943000,0.000000,100.78,786,0,5638.00,0.92,0.94,-0.080,-0.124,4.49,3.980,2.45874,,,
Kepler-819 b,1,1,0,33.19956480,0.189400,2.760,0.246,8.05000,0.02530,2.100000,0.000000,9.91,485,0,5279.00,0.81,0.86,-0.060,-0.398,4.55,4.470,2.41873,,,
Kepler-82 b,1,5,0,26.44000000,0.168300,4.070,0.363,12.15000,0.03823,0.980000,0.003300,19.56,562,1,5529.00,0.90,0.91,0.211,-0.185,4.49,4.680,1.77000,,,
Kepler-82 c,1,5,0,51.54000000,0.262600,5.340,0.476,13.90000,0.04373,0.494000,0.007000,8.04,450,1,5529.00,0.90,0.91,0.211,-0.185,4.49,4.680,1.77000,,,
Kepler-82 d,1,5,0,2.38296100,0.034000,1.770,0.158,3.78000,0.01190,3.750000,0.000000,484.35,1253,1,5428.00,0.94,0.96,0.211,-0.185,4.47,4.680,2.33960,,,
Kepler-82 e,1,5,0,5.90220600,0.063000,2.470,0.220,6.66000,0.02100,2.430000,0.000000,144.34,926,1,5428.00,0.94,0.96,0.211,-0.185,4.47,4.680,2.27335,,,
Kepler-82 f,1,5,0,75.73200000,0.339500,4.840,0.432,20.90000,0.06576,1.010000,0.001400,,,0,5529.00,0.90,0.91,0.211,-0.225,4.49,4.680,1.77000,,,
Kepler-820 b,1,1,0,127.83380980,0.582900,6.090,0.543,30.80000,0.09700,0.749000,0.000000,16.23,554,0,6260.00,1.36,1.23,0.090,0.689,4.25,2.630,0.71826,,,
Kepler-821 b,1,1,0,1.92279873,0.029000,1.310,0.117,2.27000,0.00714,5.550000,0.000000,496.82,1215,0,5191.00,0.80,0.84,-0.030,-0.364,4.56,4.790,2.35671,,,
Kepler-822 b,1,1,0,3.22296927,0.041200,1.770,0.158,3.78000,0.01190,3.750000,0.000000,535.19,1239,0,5928.00,1.08,1.06,0.040,-0.005,4.40,3.550,0.96758,,,
Kepler-823 b,1,1,0,4.16809082,0.050700,1.570,0.140,3.09000,0.00972,4.390000,0.000000,803.35,1277,0,5643.00,0.96,0.98,0.060,0.335,4.47,4.470,1.80327,,,
Kepler-824 b,1,1,0,4.51436633,0.055000,1.870,0.167,4.16000,0.01310,3.500000,0.000000,454.60,1231,0,6035.00,1.22,1.15,0.140,0.122,4.32,3.310,1.43366,,,
Kepler-825 b,1,2,0,3.77360059,0.045300,1.530,0.136,2.96000,0.00930,4.540000,0.000000,734.46,1270,0,5976.00,1.08,1.03,-0.080,0.120,4.39,3.550,1.63287,,,
Kepler-825 c,1,2,0,8.18182460,0.075900,1.840,0.164,4.04000,0.01270,3.560000,0.000000,261.63,981,0,5976.00,1.08,1.03,-0.080,0.120,4.39,3.550,4.81885,,,
Kepler-826 b,1,1,0,4.48758907,0.052800,1.250,0.112,2.10000,0.00660,5.910000,0.000000,827.22,1305,0,6079.00,1.15,1.05,-0.120,0.349,4.34,4.370,0.73118,,,
Kepler-827 b,1,1,0,51.92927591,0.274200,5.630,0.502,27.00000,0.08490,0.831000,0.000000,23.60,574,1,5602.00,0.91,0.93,-0.060,0.232,4.50,4.370,3.32701,,,
Kepler-828 b,1,1,0,0.56785714,0.012500,1.510,0.135,2.89000,0.00909,4.610000,0.000000,1835.16,1848,0,5039.00,0.77,0.81,-0.020,-0.543,4.58,4.570,3.92265,,,
Kepler-829 b,1,1,0,6.88337562,0.067800,2.110,0.188,5.10000,0.01600,2.980000,0.000000,247.47,857,0,5698.00,0.97,0.98,0.030,0.040,4.46,4.680,5.22062,,,
Kepler-83 b,2,3,0,9.77000000,0.072950,2.830,0.252,42.10000,0.13200,10.200000,0.000000,15.41,460,1,4082.00,0.61,0.66,-0.200,-1.102,4.69,3.090,6.12072,,,
Kepler-83 c,2,3,0,20.09000000,0.117960,2.360,0.211,11.40000,0.03600,4.770000,0.000000,5.90,362,1,4082.00,0.61,0.66,-0.200,-1.102,4.69,3.090,3.81596,,,
Kepler-83 d,2,3,0,5.16979600,0.051000,1.940,0.173,24.60000,0.07700,18.500000,0.000000,28.81,569,0,4648.00,0.59,0.58,-0.200,-1.102,4.72,3.090,3.97487,,,
Kepler-830 b,1,1,0,11.29695137,0.103300,1.700,0.152,3.53000,0.01110,3.950000,0.000000,160.18,907,0,6037.00,1.11,1.07,-0.020,0.169,4.38,3.470,0.39990,,,
Kepler-831 b,1,1,0,5.62153941,0.060300,1.270,0.113,2.15000,0.00678,5.770000,0.000000,266.25,992,0,5732.00,0.97,0.99,0.020,0.012,4.46,4.170,3.68960,,,
Kepler-832 b,1,1,0,7.13969410,0.075000,2.060,0.184,4.90000,0.01540,3.080000,0.000000,256.83,965,0,5596.00,0.90,0.92,-0.080,0.070,4.50,4.370,1.01680,,,
Kepler-833 b,1,1,0,18.75469980,0.113900,2.020,0.180,4.74000,0.01490,3.160000,0.000000,8.31,382,0,4339.00,0.62,0.64,-0.180,-0.793,4.67,3.720,5.88599,,,
Kepler-834 b,1,1,0,13.32388301,0.086200,2.020,0.180,4.74000,0.01490,3.160000,0.000000,11.85,378,0,4554.00,0.66,0.70,-0.130,-0.745,4.64,2.690,3.60222,,,
Kepler-835 b,1,1,0,11.41909375,0.107000,2.790,0.249,8.20000,0.02580,2.070000,0.000000,170.33,921,0,5954.00,1.11,1.08,0.080,0.330,4.38,3.630,0.87917,,,
Kepler-836 b,1,1,0,11.36112327,0.101300,2.730,0.244,7.90000,0.02490,2.130000,0.000000,135.80,869,0,5895.00,1.04,1.03,-0.010,0.049,4.41,4.270,0.47666,,,
Kepler-837 b,1,1,0,16.56059504,0.114400,2.560,0.228,7.08000,0.02230,2.320000,0.000000,55.97,701,0,5403.00,0.81,0.85,-0.180,-0.271,4.56,3.980,1.46297,,,
Kepler-838 b,1,1,0,15.74957994,0.126600,2.730,0.244,7.90000,0.02490,2.130000,0.000000,61.09,777,0,5770.00,0.96,0.98,-0.060,-0.099,4.46,4.170,0.69062,,,
Kepler-839 b,1,1,0,37.81445140,0.234100,2.570,0.229,7.13000,0.02240,2.310000,0.000000,46.30,626,0,6058.00,1.31,1.22,0.290,0.437,4.29,2.820,0.53357,,,
Kepler-84 b,1,5,0,8.72600000,0.082700,2.230,0.199,40.00000,0.12600,19.800000,0.000000,222.19,985,1,6039.00,1.43,1.00,-0.070,0.212,4.13,3.980,0.08514,,,
Kepler-84 c,1,5,0,12.88300000,0.107200,2.360,0.211,20.20000,0.06400,8.440000,0.000000,132.23,865,1,6039.00,1.43,1.00,-0.070,0.212,4.13,3.980,0.02901,,,
Kepler-84 d,1,5,0,4.22453700,0.052000,1.380,0.123,2.48000,0.00780,5.190000,0.000000,584.24,1254,0,6031.00,1.17,1.06,-0.070,0.212,4.32,3.980,1.20895,,,
