pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
Kepler-235 b,1,4,0,3.34022200,0.037000,2.230,0.199,5.60000,0.01760,2.770000,0.000000,44.00,731,0,4255.00,0.55,0.58,-0.510,-1.102,4.73,6.000,4.14000,,39.49,
Kepler-235 c,1,4,0,7.82490400,0.065000,1.280,0.114,2.18000,0.00687,5.710000,0.000000,14.20,555,0,4255.00,0.55,0.58,-0.510,-1.102,4.73,6.000,4.14000,,39.49,
Kepler-235 d,1,4,0,20.06054800,0.122000,2.050,0.183,4.86000,0.01530,3.100000,0.000000,4.03,401,0,4255.00,0.55,0.58,-0.510,-1.102,4.73,6.000,4.14000,,39.49,
Kepler-235 e,1,4,0,46.18366900,0.213000,2.220,0.198,5.56000,0.01750,2.790000,0.000000,1.33,306,0,4255.00,0.55,0.58,-0.510,-1.102,4.73,6.000,4.14000,,39.49,
Kepler-236 b,1,2,0,8.29561100,0.065000,1.570,0.140,3.09000,0.00972,4.390000,0.000000,15.63,469,0,3750.00,0.51,0.60,-0.050,-1.229,4.75,3.160,3.70571,,,
Kepler-236 c,1,2,0,23.96812700,0.132000,2.000,0.178,4.66000,0.01470,3.200000,0.000000,3.80,329,0,3750.00,0.51,0.60,-0.050,-1.229,4.75,3.160,3.70571,,,
Kepler-237 b,1,2,0,4.71510600,0.050000,1.410,0.126,2.57000,0.00809,5.040000,0.000000,124.96,823,0,4861.00,0.72,0.70,0.030,-0.477,4.58,13.800,2.42359,,,
Kepler-237 c,1,2,0,8.10363600,0.071000,2.080,0.186,4.98000,0.01570,3.040000,0.000000,60.64,687,0,4861.00,0.72,0.70,0.030,-0.477,4.58,13.800,1.97075,,,
Kepler-238 b,1,5,0,2.09087600,0.034000,1.730,0.154,3.64000,0.01150,3.860000,0.000000,2500.59,1642,0,5751.00,1.43,1.06,0.230,0.430,4.19,6.760,0.45192,,,
Kepler-238 c,1,5,0,6.15555700,0.069000,2.390,0.213,6.30000,0.01980,2.540000,0.000000,592.30,1146,0,5751.00,1.43,1.06,0.230,0.430,4.19,6.760,0.40662,,,
Kepler-238 d,1,5,0,13.23354900,0.115000,3.070,0.274,9.64000,0.03030,1.830000,0.000000,213.48,888,0,5751.00,1.43,1.06,0.230,0.430,4.19,6.760,0.38840,,,
Kepler-238 e,1,5,0,23.65400000,0.165800,5.600,0.500,169.70000,0.53400,5.310000,0.000000,98.46,731,1,5732.00,0.96,1.06,0.230,0.430,4.49,6.760,0.41907,,,
Kepler-238 f,1,5,0,50.44700000,0.274700,2.000,0.178,13.50000,0.04200,9.270000,0.000000,35.87,568,1,5732.00,0.96,1.06,0.230,0.430,4.49,6.760,0.97794,,,
Kepler-239 b,1,2,0,11.76305100,0.095000,2.330,0.208,6.04000,0.01900,2.620000,0.000000,34.75,616,0,4914.00,0.76,0.76,0.090,-0.475,4.58,3.310,4.37951,,,
Kepler-239 c,1,2,0,56.22809800,0.268000,2.510,0.224,6.85000,0.02150,2.380000,0.000000,4.32,366,0,4914.00,0.76,0.76,0.090,-0.475,4.58,3.310,13.12235,,,
Kepler-24 b,1,4,0,8.14530000,0.080000,2.400,0.214,508.50000,1.60000,,0.000000,252.25,1050,1,5800.00,1.07,1.03,-0.240,0.064,4.34,7.700,0.02385,,,
Kepler-24 c,1,4,0,12.33350000,0.106000,2.800,0.250,508.50000,1.60000,,0.000000,144.83,915,1,5800.00,1.07,1.03,-0.240,0.064,4.34,7.700,0.01122,,,
Kepler-24 d,1,4,0,4.24438400,0.051000,1.670,0.149,3.43000,0.01080,4.050000,0.000000,601.89,1305,0,5897.00,1.29,0.98,-0.071,0.142,4.20,5.200,0.75360,,,
Kepler-24 e,1,4,0,18.99835500,0.138000,2.780,0.248,8.15000,0.02560,2.080000,0.000000,81.51,792,0,5897.00,1.29,0.98,-0.071,0.142,4.20,5.200,6.38853,,,
Kepler-240 b,1,2,0,4.14449500,0.048000,1.370,0.122,2.45000,0.00771,5.240000,0.000000,142.74,864,0,4985.00,0.74,0.75,0.180,-0.524,4.63,0.900,2.49621,,,
Kepler-240 c,1,2,0,7.95352800,0.074000,2.200,0.196,102.30000,0.32200,52.800000,0.000000,59.84,696,0,4985.00,0.74,0.75,0.180,-0.524,4.63,0.900,3.48717,,,
Kepler-241 b,1,2,0,12.71809200,0.094000,2.330,0.208,6.04000,0.01900,2.620000,0.000000,23.60,562,0,4699.00,0.67,0.67,0.031,-0.607,4.63,13.900,2.98907,,,
Kepler-241 c,1,2,0,36.06597800,0.189000,2.570,0.229,7.13000,0.02240,2.310000,0.000000,5.88,397,0,4699.00,0.67,0.67,0.031,-0.607,4.63,13.900,3.78452,,,
Kepler-242 b,1,2,0,8.20395000,0.075000,2.610,0.233,7.32000,0.02300,2.260000,0.000000,43.77,742,0,5020.00,0.85,0.81,0.010,-0.613,4.49,14.000,0.65082,,,
Kepler-242 c,1,2,0,14.49648100,0.109000,2.000,0.178,4.66000,0.01470,3.200000,0.000000,20.50,613,0,5020.00,0.85,0.81,0.010,-0.613,4.49,14.000,0.13740,,,
Kepler-243 b,1,2,0,5.71544200,0.062000,2.450,0.219,6.57000,0.02070,2.450000,0.000000,115.50,850,0,5228.00,0.84,0.83,0.010,-0.373,4.57,3.500,3.25264,,,
Kepler-243 c,1,2,0,20.02621800,0.142000,1.990,0.178,4.62000,0.01450,3.220000,0.000000,21.72,559,0,5228.00,0.84,0.83,0.010,-0.373,4.57,3.500,2.00738,,,
Kepler-244 b,1,3,0,4.31179200,0.050000,2.760,0.246,8.05000,0.02530,2.100000,0.000000,242.47,1038,0,5554.00,0.80,0.96,0.160,-0.256,4.58,0.500,1.86883,,,
Kepler-244 c,1,3,0,9.76729200,0.087000,2.050,0.183,4.86000,0.01530,3.100000,0.000000,81.57,791,0,5554.00,0.80,0.96,0.160,-0.256,4.58,0.500,23.67563,,,
Kepler-244 d,1,3,0,20.05040100,0.140000,2.310,0.206,15.20000,0.04800,6.780000,0.000000,31.27,622,0,5554.00,0.80,0.96,0.160,-0.256,4.58,0.500,1.54536,,,
Kepler-245 b,1,4,0,7.49019000,0.071000,2.570,0.229,7.13000,0.02240,2.310000,0.000000,77.75,753,1,5100.00,0.80,0.86,0.050,-0.396,4.56,3.630,3.28779,,,
Kepler-245 c,1,4,0,17.46081200,0.124000,2.180,0.194,225.60000,0.71000,120.000000,0.000000,25.15,568,1,5100.00,0.80,0.86,0.050,-0.396,4.56,3.630,13.61337,,,
Kepler-245 d,1,4,0,36.27710800,0.202000,3.030,0.270,21.60000,0.06800,4.270000,0.000000,9.49,445,1,5100.00,0.80,0.86,0.050,-0.396,4.56,3.630,3.28584,,,
Kepler-245 e,1,4,0,3.21982106,0.040000,1.750,0.156,3.71000,0.01170,3.800000,0.000000,240.15,998,0,5174.00,0.80,0.86,0.050,-0.396,4.57,3.630,3.03525,,,
Kepler-246 b,1,2,0,4.60182000,0.052000,2.340,0.209,6.08000,0.01910,2.610000,0.000000,141.61,896,0,5206.00,0.83,0.79,0.160,-0.413,4.56,12.600,2.16232,,,
Kepler-246 c,1,2,0,11.18716100,0.095000,1.500,0.134,2.86000,0.00899,4.660000,0.000000,43.21,667,0,5206.00,0.83,0.79,0.160,-0.413,4.56,12.600,2.28406,,,
Kepler-247 b,1,3,0,3.33616000,0.042000,1.640,0.146,3.33000,0.01050,4.150000,0.000000,216.11,970,1,5100.00,0.77,0.84,0.050,-0.422,4.61,0.800,3.12818,,,
Kepler-247 c,1,3,0,9.43945200,0.084000,4.090,0.365,15.70000,0.04940,1.260000,0.000000,53.90,686,1,5100.00,0.77,0.84,0.050,-0.422,4.61,0.800,3.76657,,,
Kepler-247 d,1,3,0,20.47791200,0.140000,3.940,0.352,14.70000,0.04630,1.320000,0.000000,19.21,530,1,5100.00,0.77,0.84,0.050,-0.422,4.61,0.800,5.64738,,,
Kepler-248 b,1,2,0,6.30820500,0.066000,3.020,0.269,9.38000,0.02950,1.870000,0.000000,79.31,819,0,5190.00,0.83,0.90,0.200,-0.418,4.57,2.340,1.63530,,,
Kepler-248 c,1,2,0,16.23949400,0.123000,4.070,0.363,15.60000,0.04900,1.270000,0.000000,22.46,598,0,5190.00,0.83,0.90,0.200,-0.418,4.57,2.340,2.35482,,,
Kepler-249 b,1,3,0,3.30653900,0.035000,1.090,0.097,1.32000,0.00416,5.600000,0.000000,24.26,554,0,3568.00,0.48,0.51,-0.340,-1.495,4.78,3.090,5.34498,,,
Kepler-249 c,1,3,0,7.11370200,0.058000,1.510,0.135,2.89000,0.00909,4.610000,0.000000,12.53,429,0,3568.00,0.48,0.51,-0.340,-1.495,4.78,3.090,5.34498,,,
Kepler-249 d,1,3,0,15.36845900,0.097000,1.570,0.140,3.09000,0.00972,4.390000,0.000000,4.47,332,0,3568.00,0.48,0.51,-0.340,-1.495,4.78,3.090,5.34498,,,
Kepler-25 b,2,3,0,6.23829700,0.068500,2.748,0.245,8.70000,0.02750,2.320000,0.002900,542.96,1185,1,6103.00,1.32,1.17,0.010,0.467,4.28,4.650,0.75000,11.2000,,-7.59
Kepler-25 c,2,3,0,12.72070000,0.110100,5.217,0.465,15.20000,0.04790,0.588000,0.006100,210.17,934,1,6354.00,1.32,1.17,0.110,0.422,4.29,2.750,0.75000,9.3400,,-7.59
Kepler-25 d,2,3,0,122.40000000,,10.000,0.894,71.90000,0.22600,0.395000,0.130000,,,0,6270.00,1.32,1.17,-0.040,0.391,4.28,11.000,0.75000,9.5000,,-7.59
Kepler-250 b,1,3,0,4.14814100,0.048000,1.130,0.101,1.51000,0.00474,5.750000,0.000000,148.10,938,0,5160.00,0.81,0.83,0.020,-0.457,4.57,13.200,2.20456,,,
Kepler-250 c,1,3,0,7.15680400,0.069000,2.280,0.203,5.82000,0.01830,2.700000,0.000000,71.50,782,0,5160.00,0.81,0.83,0.020,-0.457,4.57,13.200,3.39024,,,
Kepler-250 d,1,3,0,17.64831200,0.127000,2.180,0.194,5.39000,0.01700,2.860000,0.000000,21.46,579,0,5160.00,0.81,0.83,0.020,-0.457,4.57,13.200,19.29835,,,
Kepler-251 b,1,4,0,4.79093600,0.053000,1.330,0.119,2.33000,0.00733,5.440000,0.000000,203.17,990,0,5526.00,0.89,0.95,-0.020,-0.172,4.49,3.630,2.12141,,,
Kepler-251 c,1,4,0,16.51404300,0.122000,2.770,0.247,8.10000,0.02550,2.090000,0.000000,38.95,655,0,5526.00,0.89,0.95,-0.020,-0.172,4.49,3.630,1.66311,,,
Kepler-251 d,1,4,0,30.13300100,0.182000,2.770,0.247,8.10000,0.02550,2.090000,0.000000,17.48,536,0,5526.00,0.89,0.95,-0.020,-0.172,4.49,3.630,0.40310,,,
Kepler-251 e,1,4,0,99.64016100,0.404000,2.770,0.247,8.10000,0.02550,2.090000,0.000000,3.55,360,0,5526.00,0.89,0.95,-0.020,-0.172,4.49,3.630,10.35916,,,
Kepler-252 b,1,2,0,6.66839100,0.058000,1.230,0.110,2.04000,0.00642,6.020000,0.000000,39.26,587,0,4208.00,0.55,0.61,-0.130,-0.786,4.72,13.900,7.39154,,,
Kepler-252 c,1,2,0,10.84846300,0.080000,2.150,0.192,5.27000,0.01660,2.910000,0.000000,20.51,499,0,4208.00,0.55,0.61,-0.130,-0.786,4.72,13.900,3.83419,,,
Kepler-253 b,1,3,0,3.78398600,0.046000,1.630,0.145,3.29000,0.01040,4.170000,0.000000,194.35,949,0,5208.00,0.79,0.85,0.030,-0.387,4.59,0.700,4.48753,,,
Kepler-253 c,1,3,0,10.28195100,0.089000,2.650,0.236,7.51000,0.02360,2.220000,0.000000,51.27,680,0,5208.00,0.79,0.85,0.030,-0.387,4.59,0.700,2.09147,,,
Kepler-253 d,1,3,0,18.11986900,0.130000,3.170,0.283,10.20000,0.03200,1.760000,0.000000,24.08,563,0,5208.00,0.79,0.85,0.030,-0.387,4.59,0.700,2.10579,,,
Kepler-254 b,1,3,0,5.82666200,0.064000,3.870,0.345,14.30000,0.04490,1.360000,0.000000,184.34,1013,0,5957.00,0.91,0.93,0.160,-0.125,4.52,0.300,2.19595,,,
Kepler-254 c,1,3,0,12.41218300,0.105000,2.150,0.192,3.20000,0.01000,1.770000,0.000000,67.22,787,0,5957.00,0.91,0.93,0.160,-0.125,4.52,0.300,2.14038,,,
Kepler-254 d,1,3,0,18.74647700,0.139000,2.500,0.223,6.80000,0.02140,2.390000,0.000000,38.84,686,0,5957.00,0.91,0.93,0.160,-0.125,4.52,0.300,2.11735,,,
Kepler-255 b,1,3,0,5.71460600,0.063000,1.550,0.138,3.02000,0.00951,4.460000,0.000000,174.40,971,0,5573.00,0.93,0.87,0.339,-0.183,4.52,2.400,2.24666,,,
Kepler-255 c,1,3,0,9.94604700,0.092000,2.990,0.267,9.22000,0.02900,1.900000,0.000000,83.26,807,0,5573.00,0.93,0.87,0.339,-0.183,4.52,2.400,2.34688,,,
Kepler-255 d,1,3,0,1.04562266,0.019200,1.320,0.118,2.30000,0.00724,5.500000,0.000000,1686.09,1710,0,5431.00,0.86,0.90,0.020,-0.183,4.53,4.370,1.50018,,,
Kepler-256 b,1,4,0,1.62049300,0.027000,1.590,0.142,3.15000,0.00993,4.310000,0.000000,1225.93,1681,0,5551.00,1.30,0.97,0.120,-0.059,4.22,9.550,1.23000,,,
Kepler-256 c,1,4,0,3.38802000,0.045000,2.150,0.192,5.27000,0.01660,2.910000,0.000000,457.07,1315,0,5551.00,1.30,0.97,0.120,-0.059,4.22,9.550,1.15366,,,
Kepler-256 d,1,4,0,5.83917200,0.064000,2.480,0.221,6.71000,0.02110,2.420000,0.000000,221.10,1097,0,5551.00,1.30,0.97,0.120,-0.059,4.22,9.550,1.32836,,,
Kepler-256 e,1,4,0,10.68157200,0.096000,2.350,0.210,6.12000,0.01930,2.590000,0.000000,98.90,897,0,5551.00,1.30,0.97,0.120,-0.059,4.22,9.550,1.87921,,,
Kepler-257 b,1,3,0,2.38266700,0.034000,2.610,0.233,7.32000,0.02300,2.260000,0.000000,553.53,1237,0,5180.00,1.04,0.85,0.040,-0.378,4.36,14.000,3.03443,,,
Kepler-257 c,1,3,0,6.58148400,0.066000,5.410,0.483,25.20000,0.07940,0.875000,0.000000,142.63,881,0,5180.00,1.04,0.85,0.040,-0.378,4.36,14.000,1.89825,,,
Kepler-257 d,1,3,0,24.66455100,0.160000,4.950,0.442,21.70000,0.06830,0.983000,0.000000,24.53,567,0,5180.00,1.04,0.85,0.040,-0.378,4.36,14.000,2.81619,,,
Kepler-258 b,1,2,0,13.19722000,0.103000,4.060,0.362,15.50000,0.04880,1.270000,0.000000,27.79,642,0,4942.00,0.92,0.82,0.303,-0.575,4.44,13.700,3.02990,,,
Kepler-258 c,1,2,0,33.65307900,0.193000,3.610,0.322,12.70000,0.03990,1.480000,0.000000,7.99,470,0,4942.00,0.92,0.82,0.303,-0.575,4.44,13.700,0.66663,,,
Kepler-259 b,1,2,0,8.11531700,0.079000,2.800,0.250,8.25000,0.02590,2.070000,0.000000,113.45,879,0,5938.00,0.90,0.93,-0.030,-0.153,4.53,0.400,1.98095,,,
Kepler-259 c,1,2,0,36.92493100,0.217000,2.700,0.241,7.75000,0.02440,2.160000,0.000000,15.05,530,0,5938.00,0.90,0.93,-0.030,-0.153,4.53,0.400,3.20535,,,
Kepler-26 b,1,4,0,12.28000000,0.085510,2.780,0.248,5.12000,0.01611,1.260000,0.000000,7.60,431,1,3914.00,0.51,0.54,-0.130,-1.060,4.68,2.950,5.98262,1.9000,,
Kepler-26 c,1,4,0,17.25590000,0.107250,2.720,0.243,6.20000,0.01951,1.610000,0.000000,4.82,385,1,3914.00,0.51,0.54,-0.130,-1.060,4.68,2.950,5.08719,1.9000,,
Kepler-26 d,1,4,0,3.54391900,0.039000,1.070,0.095,1.24000,0.00390,5.560000,0.000000,31.79,652,0,4486.00,0.57,0.62,-0.050,-1.060,4.73,2.950,4.85351,1.9000,,
Kepler-26 e,1,4,0,46.82791500,0.220000,2.410,0.215,6.39000,0.02010,2.510000,0.000000,1.75,276,0,4486.00,0.57,0.62,-0.050,-1.060,4.73,2.950,50.49124,1.9000,,
Kepler-260 b,1,2,0,8.18739900,0.075000,2.010,0.179,4.70000,0.01480,3.180000,0.000000,132.13,782,0,5250.00,0.86,0.92,0.030,-0.092,4.49,4.470,2.08567,,,
Kepler-260 c,1,2,0,76.05017800,0.332000,1.740,0.155,3.68000,0.01160,3.840000,0.000000,6.78,372,0,5250.00,0.86,0.92,0.030,-0.092,4.49,4.470,1.84961,,,
Kepler-261 b,1,2,0,10.38122700,0.088000,2.180,0.194,5.39000,0.01700,2.860000,0.000000,45.78,672,0,5098.00,0.79,0.88,0.162,-0.471,4.56,3.980,4.50712,,,
Kepler-261 c,1,2,0,24.57085800,0.156000,2.000,0.178,4.66000,0.01470,3.200000,0.000000,14.51,505,0,5098.00,0.79,0.88,0.162,-0.471,4.56,3.980,3.02074,,,
Kepler-262 b,1,2,0,13.06085500,0.108000,1.360,0.121,2.42000,0.00761,5.290000,0.000000,50.17,734,0,5841.00,0.88,0.99,-0.338,-0.140,4.54,3.550,1.49784,,,
Kepler-262 c,1,2,0,21.85372200,0.152000,1.640,0.146,3.33000,0.01050,4.150000,0.000000,25.26,618,0,5841.00,0.88,0.99,-0.338,-0.140,4.54,3.550,5.20256,,,
Kepler-263 b,1,2,0,16.56808700,0.120000,2.670,0.238,7.61000,0.02390,2.200000,0.000000,24.31,548,0,5265.00,0.79,0.80,-0.031,-0.456,4.58,7.900,1.90961,,,
Kepler-263 c,1,2,0,47.33277300,0.242000,2.470,0.220,6.66000,0.02100,2.430000,0.000000,5.99,386,0,5265.00,0.79,0.80,-0.031,-0.456,4.58,7.900,18.48170,,,
Kepler-264 b,1,2,0,40.80623100,0.249000,3.330,0.297,11.10000,0.03480,1.650000,0.000000,79.48,772,0,6158.00,1.55,1.46,0.047,0.689,4.15,2.570,0.15947,,,
Kepler-264 c,1,2,0,140.10126100,0.566000,2.830,0.252,8.40000,0.02640,2.040000,0.000000,15.35,511,0,6158.00,1.55,1.46,0.047,0.689,4.15,2.570,0.19495,,,
Kepler-265 b,1,4,0,6.84626200,0.069000,1.860,0.166,4.12000,0.01300,3.520000,0.000000,220.33,1022,0,5835.00,1.10,0.98,-0.140,0.005,4.33,0.280,0.94278,,,
Kepler-265 c,1,4,0,17.02893700,0.127000,2.630,0.235,7.41000,0.02330,2.240000,0.000000,65.36,755,0,5835.00,1.10,0.98,-0.140,0.005,4.33,0.280,1.49260,,,
Kepler-265 d,1,4,0,43.13061700,0.236000,2.490,0.222,6.76000,0.02130,2.410000,0.000000,18.94,554,0,5835.00,1.10,0.98,-0.140,0.005,4.33,0.280,13.10486,,,
Kepler-265 e,1,4,0,67.83102400,0.319000,2.590,0.231,7.22000,0.02270,2.280000,0.000000,10.35,476,0,5835.00,1.10,0.98,-0.140,0.005,4.33,0.280,1.45165,,,
Kepler-266 b,1,2,0,6.61833000,0.071000,2.480,0.221,6.71000,0.02110,2.420000,0.000000,230.40,1066,0,5885.00,1.03,0.95,0.160,0.012,4.45,4.790,1.11507,,,
Kepler-266 c,1,2,0,107.72360100,0.457000,3.890,0.347,14.40000,0.04530,1.340000,0.000000,5.59,421,0,5885.00,1.03,0.95,0.160,0.012,4.45,4.790,1.78397,,,
Kepler-267 b,1,3,0,3.35372800,0.037000,1.980,0.177,37.90000,0.11900,26.800000,0.000000,45.84,615,0,4258.00,0.56,0.54,-0.180,-1.229,4.73,3.310,4.69279,,,
Kepler-267 c,1,3,0,6.87745000,0.060000,2.130,0.190,5.18000,0.01630,2.950000,0.000000,17.58,484,0,4258.00,0.56,0.54,-0.180,-1.229,4.73,3.310,4.69279,,,
Kepler-267 d,1,3,0,28.46451500,0.154000,2.270,0.203,5.77000,0.01820,2.710000,0.000000,2.65,301,1,4258.00,0.56,0.54,-0.180,-1.229,4.73,3.310,4.69279,,,
Kepler-268 b,1,2,0,25.93413800,0.180000,2.550,0.227,7.04000,0.02210,2.330000,0.000000,64.93,695,0,6081.00,1.27,1.13,0.001,0.318,4.29,1.710,2.27934,,,
Kepler-268 c,1,2,0,83.44639300,0.391000,3.380,0.302,11.40000,0.03570,1.620000,0.000000,13.66,471,0,6081.00,1.27,1.13,0.001,0.318,4.29,1.710,2.66615,,,
Kepler-269 b,1,2,0,5.32671800,0.061000,2.470,0.220,6.66000,0.02100,2.430000,0.000000,730.77,1007,0,5847.00,0.96,0.92,0.020,0.368,4.50,4.570,0.98784,,,
Kepler-269 c,1,2,0,8.12789900,0.081000,1.690,0.151,3.50000,0.01100,3.980000,0.000000,416.58,875,0,5847.00,0.96,0.92,0.020,0.368,4.50,4.570,1.14108,,,
Kepler-27 b,1,2,0,15.33480000,0.118000,4.000,0.357,2895.31000,9.11000,,0.000000,28.68,610,1,5400.00,0.59,0.65,0.410,-0.329,5.40,1.620,3.22487,0.6000,,
Kepler-27 c,1,2,0,31.33090000,0.191000,4.900,0.437,4385.87000,13.80000,,0.000000,11.07,481,1,5400.00,0.59,0.65,0.410,-0.329,5.40,1.620,0.71800,0.6000,,
Kepler-270 b,1,2,0,11.47609400,0.107000,2.010,0.179,4.70000,0.01480,3.180000,0.000000,178.36,984,0,6067.00,1.46,1.17,0.070,0.312,4.20,2.730,0.71457,,,
Kepler-270 c,1,2,0,25.26288700,0.180000,1.770,0.158,3.78000,0.01190,3.750000,0.000000,62.24,756,0,6067.00,1.46,1.17,0.070,0.312,4.20,2.730,0.30014,,,
Kepler-271 b,1,3,0,10.43547805,0.088100,1.230,0.110,2.04000,0.00642,6.020000,0.000000,75.96,759,0,5555.00,0.87,0.90,-0.130,-0.253,4.52,4.570,2.19626,,,
Kepler-271 c,1,3,0,7.41086267,0.070200,0.950,0.085,0.80900,0.00254,5.180000,0.000000,119.63,850,0,5555.00,0.87,0.90,-0.130,-0.253,4.52,4.570,1.87677,,,
Kepler-271 d,1,3,0,5.24972541,0.055800,0.660,0.059,0.21900,0.00069,4.190000,0.000000,189.34,954,0,5555.00,0.87,0.90,-0.130,-0.253,4.52,4.570,2.05485,,,
Kepler-272 b,1,3,0,2.97135300,0.038000,1.430,0.128,78.00000,0.24500,147.000000,0.000000,801.74,1200,0,5297.00,0.93,0.86,0.090,0.066,4.43,4.900,1.08986,,,
Kepler-272 c,1,3,0,6.05734200,0.061000,1.790,0.160,97.80000,0.30800,93.700000,0.000000,310.76,947,0,5297.00,0.93,0.86,0.090,0.066,4.43,4.900,1.03785,,,
Kepler-272 d,1,3,0,10.93730400,0.091000,2.250,0.201,5.69000,0.01790,2.740000,0.000000,141.13,777,0,5297.00,0.93,0.86,0.090,0.066,4.43,4.900,3.75841,,,
Kepler-273 b,1,2,0,2.93653200,0.037000,1.500,0.134,2.86000,0.00899,4.660000,0.000000,285.64,1209,0,5626.00,0.81,0.94,0.140,-0.341,4.51,5.100,4.62323,,,
Kepler-273 c,1,2,0,8.01492700,0.073000,1.980,0.177,4.58000,0.01440,3.240000,0.000000,74.89,865,0,5626.00,0.81,0.94,0.140,-0.341,4.51,5.100,1.39534,,,
Kepler-274 b,1,2,0,11.63478800,0.101000,1.540,0.137,2.99000,0.00940,4.500000,0.000000,147.81,961,0,6023.00,1.01,1.08,-0.211,0.201,4.44,3.630,0.62776,,,
Kepler-274 c,1,2,0,33.19786100,0.204000,1.840,0.164,4.04000,0.01270,3.560000,0.000000,36.52,678,0,6023.00,1.01,1.08,-0.211,0.201,4.44,3.630,3.20153,,,
Kepler-275 b,1,3,0,10.30068200,0.098000,2.340,0.209,6.08000,0.01910,2.610000,0.000000,311.76,1015,0,6165.00,1.38,1.16,0.000,0.449,4.23,0.310,0.58429,,,
Kepler-275 c,1,3,0,16.08813400,0.132000,3.380,0.302,11.40000,0.03570,1.620000,0.000000,171.82,875,0,6165.00,1.38,1.16,0.000,0.449,4.23,0.310,0.78039,,,
Kepler-275 d,1,3,0,35.67606200,0.224000,3.330,0.297,11.10000,0.03480,1.650000,0.000000,59.44,671,0,6165.00,1.38,1.16,0.000,0.449,4.23,0.310,0.50839,,,
Kepler-276 b,1,3,0,14.12841000,0.119000,2.870,0.256,8.60000,0.02710,2.000000,0.000000,58.59,739,0,6105.00,1.05,1.04,0.020,-0.089,4.45,0.400,2.57496,,,
Kepler-276 c,1,3,0,31.88400000,0.199400,2.900,0.259,16.60000,0.05200,3.740000,0.000000,19.79,563,1,5779.00,1.03,1.10,0.020,-0.089,4.46,0.400,1.73156,,,
Kepler-276 d,1,3,0,48.64800000,0.264200,2.800,0.250,16.30000,0.05100,4.080000,0.000000,11.27,489,1,5779.00,1.03,1.10,0.020,-0.089,4.46,0.400,4.01887,,,
Kepler-277 b,1,2,0,17.32400000,0.138500,2.920,0.261,87.30000,0.27500,19.300000,0.000000,198.25,964,1,5946.00,1.69,1.12,0.100,0.568,4.03,5.000,0.24777,,,
Kepler-277 c,1,2,0,33.00600000,0.212900,3.360,0.300,64.20000,0.20200,9.300000,0.000000,83.90,778,1,5946.00,1.69,1.12,0.100,0.568,4.03,5.000,0.24777,,,
Kepler-278 b,1,2,0,30.16054600,0.207000,4.070,0.363,15.60000,0.04900,1.270000,0.040000,99.27,836,1,4991.00,2.94,1.08,0.271,0.620,3.62,7.760,0.16712,,,-46.73
Kepler-278 c,1,2,0,51.07877500,0.294000,3.590,0.320,12.60000,0.03960,1.500000,0.510000,49.15,702,1,4991.00,2.94,1.08,0.271,0.620,3.62,7.760,0.20697,,,-46.73
Kepler-279 b,1,3,0,12.30968100,0.112000,3.620,0.323,12.80000,0.04010,1.480000,0.000000,249.02,1104,1,6363.00,1.75,1.16,-0.114,0.519,4.05,0.220,0.06379,,,
Kepler-279 c,1,3,0,35.73600000,0.223600,4.300,0.384,49.40000,0.15500,0.300000,0.000000,60.16,774,1,6689.45,1.07,1.10,-0.114,0.519,4.42,0.220,0.04350,,,
Kepler-279 d,1,3,0,54.41400000,0.290100,3.100,0.277,37.50000,0.11800,0.300000,0.000000,35.74,574,1,6689.45,1.07,1.10,-0.114,0.519,4.42,0.220,0.05127,,,
Kepler-28 b,1,2,0,5.91230000,0.062000,3.600,0.321,479.90000,1.51000,,0.000000,62.58,585,1,4590.00,0.70,0.75,0.340,-0.745,4.29,2.240,4.13623,,,
Kepler-28 c,1,2,0,8.98580000,0.081000,3.400,0.303,432.23000,1.36000,,0.000000,35.90,509,1,4590.00,0.70,0.75,0.340,-0.745,4.29,2.240,3.50489,,,
Kepler-280 b,1,2,0,2.13954200,0.032000,1.450,0.129,2.70000,0.00849,4.870000,0.000000,821.89,1425,0,5744.00,0.89,0.96,0.121,-0.064,4.54,4.270,1.74800,,,
Kepler-280 c,1,2,0,4.80709100,0.056000,2.010,0.179,4.70000,0.01480,3.180000,0.000000,279.08,1088,0,5744.00,0.89,0.96,0.121,-0.064,4.54,4.270,64.09612,,,
Kepler-281 b,1,2,0,14.64600800,0.117000,2.820,0.252,8.35000,0.02630,2.050000,0.000000,118.25,694,0,5723.00,0.90,0.95,0.020,0.146,4.53,0.600,0.42172,,,
Kepler-281 c,1,2,0,36.33737300,0.215000,5.310,0.474,24.40000,0.07690,0.896000,0.000000,35.20,513,0,5723.00,0.90,0.95,0.020,0.146,4.53,0.600,0.24809,,,
Kepler-282 b,1,4,0,9.22052400,0.082000,1.010,0.090,1.01000,0.00317,5.390000,0.000000,195.94,817,0,5602.00,0.90,0.79,-0.250,0.106,4.46,0.400,0.67980,,,
